Year delta-13C(permil)
1700.5 -6.403378
1701.5 -6.403828
1702.5 -6.404290
1703.5 -6.404765
1704.5 -6.405253
1705.5 -6.405754
1706.5 -6.406267
1707.5 -6.406794
1708.5 -6.407333
1709.5 -6.407885
1710.5 -6.408450
1711.5 -6.409027
1712.5 -6.409617
1713.5 -6.410220
1714.5 -6.410836
1715.5 -6.411465
1716.5 -6.412106
1717.5 -6.412760
1718.5 -6.413427
1719.5 -6.414107
1720.5 -6.414799
1721.5 -6.415504
1722.5 -6.416221
1723.5 -6.416952
1724.5 -6.417695
1725.5 -6.418451
1726.5 -6.419219
1727.5 -6.420000
1728.5 -6.420794
1729.5 -6.421601
1730.5 -6.422420
1731.5 -6.423252
1732.5 -6.424096
1733.5 -6.424954
1734.5 -6.425823
1735.5 -6.426706
1736.5 -6.427601
1737.5 -6.428509
1738.5 -6.429429
1739.5 -6.430362
1740.5 -6.431307
1741.5 -6.432265
1742.5 -6.433236
1743.5 -6.434220
1744.5 -6.435215
1745.5 -6.436224
1746.5 -6.437245
1747.5 -6.438279
1748.5 -6.439325
1749.5 -6.440384
1750.5 -6.441455
1751.5 -6.442539
1752.5 -6.443635
1753.5 -6.444744
1754.5 -6.445866
1755.5 -6.447000
1756.5 -6.448146
1757.5 -6.449305
1758.5 -6.450477
1759.5 -6.451661
1760.5 -6.452857
1761.5 -6.454066
1762.5 -6.455288
1763.5 -6.456522
1764.5 -6.457768
1765.5 -6.459027
1766.5 -6.460298
1767.5 -6.461582
1768.5 -6.462878
1769.5 -6.464187
1770.5 -6.465508
1771.5 -6.466841
1772.5 -6.468187
1773.5 -6.469546
1774.5 -6.470917
1775.5 -6.472300
1776.5 -6.473695
1777.5 -6.475103
1778.5 -6.476524
1779.5 -6.477956
1780.5 -6.479402
1781.5 -6.480859
1782.5 -6.482329
1783.5 -6.483811
1784.5 -6.485306
1785.5 -6.486813
1786.5 -6.488332
1787.5 -6.489864
1788.5 -6.491407
1789.5 -6.492964
1790.5 -6.494532
1791.5 -6.496113
1792.5 -6.497706
1793.5 -6.499312
1794.5 -6.500930
1795.5 -6.502560
1796.5 -6.504202
1797.5 -6.505857
1798.5 -6.507523
1799.5 -6.509203
1800.5 -6.510894
1801.5 -6.512598
1802.5 -6.514314
1803.5 -6.516042
1804.5 -6.517782
1805.5 -6.519535
1806.5 -6.521300
1807.5 -6.523077
1808.5 -6.524866
1809.5 -6.526668
1810.5 -6.528481
1811.5 -6.530307
1812.5 -6.532145
1813.5 -6.533995
1814.5 -6.535858
1815.5 -6.537733
1816.5 -6.539619
1817.5 -6.541518
1818.5 -6.543429
1819.5 -6.545353
1820.5 -6.547288
1821.5 -6.549235
1822.5 -6.551195
1823.5 -6.553167
1824.5 -6.555151
1825.5 -6.557147
1826.5 -6.559155
1827.5 -6.561175
1828.5 -6.563207
1829.5 -6.565252
1830.5 -6.567308
1831.5 -6.569377
1832.5 -6.571458
1833.5 -6.573550
1834.5 -6.575655
1835.5 -6.577772
1836.5 -6.579901
1837.5 -6.582042
1838.5 -6.584195
1839.5 -6.586360
1840.5 -6.588537
1841.5 -6.590726
1842.5 -6.592927
1843.5 -6.595140
1844.5 -6.597365
1845.5 -6.599602
1846.5 -6.601851
1847.5 -6.604112
1848.5 -6.606385
1849.5 -6.608670
1850.5 -6.610000
1851.5 -6.610000
1852.5 -6.610000
1853.5 -6.610000
1854.5 -6.620000
1855.5 -6.620000
1856.5 -6.620000
1857.5 -6.620000
1858.5 -6.630000
1859.5 -6.630000
1860.5 -6.630000
1861.5 -6.640000
1862.5 -6.640000
1863.5 -6.650000
1864.5 -6.650000
1865.5 -6.650000
1866.5 -6.660000
1867.5 -6.660000
1868.5 -6.660000
1869.5 -6.670000
1870.5 -6.670000
1871.5 -6.670000
1872.5 -6.670000
1873.5 -6.670000
1874.5 -6.670000
1875.5 -6.680000
1876.5 -6.680000
1877.5 -6.680000
1878.5 -6.680000
1879.5 -6.680000
1880.5 -6.690000
1881.5 -6.690000
1882.5 -6.690000
1883.5 -6.690000
1884.5 -6.700000
1885.5 -6.700000
1886.5 -6.700000
1887.5 -6.710000
1888.5 -6.710000
1889.5 -6.710000
1890.5 -6.710000
1891.5 -6.720000
1892.5 -6.720000
1893.5 -6.720000
1894.5 -6.720000
1895.5 -6.720000
1896.5 -6.720000
1897.5 -6.720000
1898.5 -6.720000
1899.5 -6.730000
1900.5 -6.730000
1901.5 -6.740000
1902.5 -6.750000
1903.5 -6.760000
1904.5 -6.760000
1905.5 -6.780000
1906.5 -6.790000
1907.5 -6.800000
1908.5 -6.810000
1909.5 -6.820000
1910.5 -6.830000
1911.5 -6.840000
1912.5 -6.850000
1913.5 -6.850000
1914.5 -6.860000
1915.5 -6.860000
1916.5 -6.870000
1917.5 -6.870000
1918.5 -6.870000
1919.5 -6.870000
1920.5 -6.870000
1921.5 -6.870000
1922.5 -6.870000
1923.5 -6.860000
1924.5 -6.860000
1925.5 -6.860000
1926.5 -6.860000
1927.5 -6.860000
1928.5 -6.860000
1929.5 -6.870000
1930.5 -6.880000
1931.5 -6.890000
1932.5 -6.890000
1933.5 -6.900000
1934.5 -6.910000
1935.5 -6.920000
1936.5 -6.930000
1937.5 -6.930000
1938.5 -6.930000
1939.5 -6.940000
1940.5 -6.950000
1941.5 -6.960000
1942.5 -6.960000
1943.5 -6.970000
1944.5 -6.970000
1945.5 -6.980000
1946.5 -6.980000
1947.5 -6.980000
1948.5 -6.980000
1949.5 -6.980000
1950.5 -6.980000
1951.5 -6.980000
1952.5 -6.980000
1953.5 -6.980000
1954.5 -6.990000
1955.5 -7.000000
1956.5 -7.000000
1957.5 -7.010000
1958.5 -7.020000
1959.5 -7.040000
1960.5 -7.060000
1961.5 -7.080000
1962.5 -7.110000
1963.5 -7.150000
1964.5 -7.190000
1965.5 -7.230000
1966.5 -7.260000
1967.5 -7.290000
1968.5 -7.300000
1969.5 -7.310000
1970.5 -7.320000
1971.5 -7.330000
1972.5 -7.350000
1973.5 -7.370000
1974.5 -7.400000
1975.5 -7.440000
1976.5 -7.490000
1977.5 -7.540000
1978.5 -7.550000
1979.5 -7.560000
1980.5 -7.580000
1981.5 -7.610000
1982.5 -7.640000
1983.5 -7.680000
1984.5 -7.710000
1985.5 -7.710000
1986.5 -7.720000
1987.5 -7.750000
1988.5 -7.800000
1989.5 -7.840000
1990.5 -7.860000
1991.5 -7.860000
1992.5 -7.850000
1993.5 -7.850000
1994.5 -7.880000
1995.5 -7.920000
1996.5 -7.950000
1997.5 -7.980000
1998.5 -8.030000
1999.5 -8.060000
2000.5 -8.060000
2001.5 -8.070000
2002.5 -8.110000
2003.5 -8.150000
2004.5 -8.190000
2005.5 -8.210000
2006.5 -8.240000
2007.5 -8.260000
2008.5 -8.280000
2009.5 -8.290000
2010.5 -8.310000
2011.5 -8.330000
2012.5 -8.360000
2013.5 -8.390000
2014.5 -8.420000
2015.5 -8.440000
2016.5 -8.448911
2017.5 -8.467070
2018.5 -8.484491
2019.5 -8.501173
2020.5 -8.517117
2021.5 -8.532321
2022.5 -8.546787
2023.5 -8.560514
2024.5 -8.573502
2025.5 -8.585751
