CSIRO vegetation type,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSIRO,"(ice,water,urban:0)/grass:1/shrub:2/woody:3",,,,,,,,,,,,,,,,,,,,,,,,,,
CSIRO type(parameter values based on Chris's synthesis),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Evergreen Needleleaf Forest,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Evergreen Broadleaf Forest,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Deciduous Needleleaf Forest,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Deciduous Broadleaf Forest,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,shrub,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,C3 grass,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,C4 grass,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,tundra,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,C3 crop,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,C4 crop,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,wetland,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,not used,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,not used,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,barren,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,urban,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,lakes,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,ice,,,,,,,,,,,,,,,,,,,,,,,,,
nv1,Kroot,rootdepth,kuptake,Krootlen,KminN,Kuplabp,Fracherb,leaf,age,wood,age,froot,age,met,age,str,age,cwd,age,mic,age,slow,age,pass,age,klabile,SLA
,1/m,m,m/g,C,gN/m2,gP/m2,year,year,year,year,year,year,year,year,year,year,,,,,,,,,,,
1,5.5,1.5,2,14.87805,2,0.5,0.068,4,20,0.7,0.01,0.201,1.01,0.13,15,250.22,0.2,0.009,,,,,,,,,
2,3.9,1.5,1.9,14.38597,2,0.5,0.406,3.5,10,0.7,0.01,0.201,5.01,0.13,15.0,250.22,0.2,0.012,,,,,,,,,
3,5.5,1.5,2,14.02597,2,0.5,0.068,0.52343,20,0.7,0.01,0.201,1.01,0.13,15.0,250.22,0.2,0.0231,,,,,,,,,
4,3.9,1.5,2,18.94737,2,0.5,0.134,2,10,0.7,0.01,0.201,1.01,0.13,15.0,250.22,0.2,0.02646,,,,,,,,,
5,2,0.5,1.8,32.30769,2,0.5,0.022,1.44,4,0.7,0.01,0.201,5.01,0.14,15.0,250.22,0.2,0.00992,,,,,,,,,
6,5.5,0.5,2,84,2,0.5,0.109,0.5,1,0.28918,0.01,0.201,5.01,0.13,15,250.22,0.2,0.02959,,,,,,,,,
7,5.5,0.5,2,84,2,0.5,0.109,0.5,1,0.21404,0.01,0.201,5.01,0.13,15,250.22,0.2,0.03,,,,,,,,,
8,5.5,0.5,2,84,2,0.5,0.109,1,1,0.5403,0.04,0.601,5.01,0.685,5,250.22,0.2,0.0267,,,,,,,,,
9,5.5,0.5,1.6,120.5,2,0.5,0.14,1,1,0.28935,0.04,0.601,5.01,0.685,25,250.22,0.2,0.02959,,,,,,,,,
10,5.5,0.5,1.6,120.5,2,0.5,0.14,1,1,0.37,0.04,0.601,5.01,0.685,25,100.22,0.2,0.02242,,,,,,,,,
11,5.5,0.5,1.6,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
12,5.5,0.5,1.8,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
13,5.5,0.5,1.8,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
14,2,0.5,1.8,30.76923,2,0.5,0.01,0.43293,5,2,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02447,,,,,,,,,
15,2,0.5,1.8,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
16,5.5,1.5,1.8,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
17,5.5,0.5,1.8,0,2,0.5,0,1,1,1,0.04,0.601,5.01,0.685,5,100.22,0.2,0.02,,,,,,,,,
NV2,Calloc_leaf,Calloc_wood,Calloc_froot,rmleaf,rmwood,rmfroot,,,,,,,,,,,,,,,,,,,,,
fraction,fraction,fraction,1/year,1/year,1/year,1/year,,,,,,,,,,,,,,,,,,,,,
1,0.20937,0.39063,0.4,0.1,40,40,,,,,,,,,,,,,,,,,,,,,
2,0.3,0.3,0.4,0.1,10,10,,,,,,,,,,,,,,,,,,,,,
3,0.20937,0.59063,0.2,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
4,0.24149,0.55851,0.3,0.1,15,15,,,,,,,,,,,,,,,,,,,,,
5,0.37169,0.26927,0.35904,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
6,0.35,0,0.65,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
7,0.35,0,0.65,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
8,0.35,0.07168,0.65,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
9,0.35,0,0.65,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
10,0.35,0,0.65,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
11,0.5,0,0.5,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
12,0.5,0,0.5,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
13,0.5,0,0.5,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
14,0.2,0.1848,0.44352,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
15,0.5,0,0.5,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
16,0.6,0.4,0,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
17,0.5,0,0.5,0.1,20,20,,,,,,,,,,,,,,,,,,,,,
nv3,C:N leaf ,C:N wood,C:N froot,Ntrans_leaf,Ntrans_wood,Ntrans_frt,lignin leaf,lignin CWD,lignin froot,C:N mic,C:N slow,C:N pass,C:Nmicmin,C:Nslowmin,C:Npassmin,C:Nmaxmic,C:Nslowmax,C:Npassmax,Laimax,Laimin,,,,,,,
gc/gn,gc/gn,g C/gN,gC/gN,fraction,fraction,fraction,g lignin/gC,g lignin/gC,g lignin/gC,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,gC/gN,m2/m2,m2/m2,,,,,,,
1,54.92146975,238.10001,73.7,0.5,0.95,0.9,0.1,0.4,0.1,5.4,26.91,26.91,5.4,26.91,26.91,8,30,30,10,0,,,,,,,
