longname,name_TRENDY ,name_CABLE,file,units_TRENDY,units_CABLE,conversion_factor,priority,additional_dimensions,missval,frequency,type,Comments_file_attribute,Comments_other,Changes_v11,New_v12
Near-Surface Air Temperature,tas,Tair,cable,K,K,,1,,-99999,monthly,physical,,,,
Precipitation,pr,Rainf,cable,kg m-2 s-1,kg m-2 s-1,,1,,-99999,monthly,physical,,,,
Surface Downwelling Shortwave Radiation,rsds,SWdown,cable,W m-2,W m-2,,1,,-99999,monthly,physical,,,,
Total Soil Moisture Content,mrso,calculate,cable,kg m-2,m3 m-3,,1,,-99999,monthly,physical,,,,
Total Runoff,mrro,calculate,cable,kg m-2 s-1,kg m-2 s-1,,1,,-99999,monthly,physical,,Qs (surface runoff) + Qsb (subsurface runoff),,
Total Evapo-Transpiration,evapotrans,Evap,cable,kg m-2 s-1,kg m-2 s-1,,1,,-99999,monthly,physical,,,,
Vegtype level evapotranspiration ,evapotranspft,Qle,cable,W m-2 ,W m-2,,1,PFT,-99999,monthly,physical,,,,
Vegtype level transpiration ,transpft,TVeg,cable,W m-2,kg m-2 s-1,mul:2.5014e6,1,PFT,-99999,monthly,physical,,double check if lambda is really a constant in CABLE,,
Vegtype level Soil evaporation,evapo,ESoil,cable,W m-2 ,kg m-2 s-1,mul:2.5014e6,1,PFT,-99999,monthly,physical,,double check if lambda is really a constant in CABLE,,
Vegtype level Broadband Albedo,albedopft,Albedo,cable,fraction,fraction,,1,PFT,-99999,monthly,physical,,,,
Vegtype level snow depth,snow_depthpft,SnowDepth,cable,m,m,,1,PFT,-99999,monthly,physical,,longname and units were changed (originally: 'Vegtype level snow depth or snow water equivalent' and 'm m-2'),,
Vegtype level sensible heat flux,shflxpft,Qh,cable,W m-2,W m-2,,1,PFT,-99999,monthly,physical,,,,
Vegtype level net radiation,rnpft,Rnet,cable,W m-2,W m-2,,1,PFT,-99999,monthly,physical,,,,
Carbon in Vegetation,cVeg,TotLivBiomass,cable,kg m-2,kg m-2,,1,,-99999,annual,carbon pool,,,,
Carbon in Litter Pool,cLitter,TotLittCarb,cable,kg m-2,kg m-2,,1,,-99999,annual,carbon pool,includes above- and belowground litter,,,
Carbon in Soil,cSoil,TotSoilCarb,cable,kg m-2,kg m-2,,1,,-99999,annual,carbon pool,belowground litter not included,,,
Carbon in Products of Land Use Change,cProduct,calculate,LUC,kg m-2,gC m-2,,1,,-99999,annual,carbon pool,,unit conversion in script,,
Vegtype level Carbon in Vegetation,cVegpft,TotLivBiomass,cable,kg m-2,kg m-2,,1,PFT,-99999,annual,carbon pool,,,,
Vegtype level Carbon in Soil,cSoilpft,TotSoilCarb,cable,kg m-2 ,kg m-2,,2,PFT,-99999,annual,carbon pool,belowground litter not included,,,
Gross Primary Production,gpp,GPP,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,,-99999,monthly,carbon flux,,,,
Autotrophic (Plant) Respiration,ra,AutoResp,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,,-99999,monthly,carbon flux,,,,
Net Primary Production,npp,NPP,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,,-99999,monthly,carbon flux,,,,
Heterotrophic Respiration,rh,HeteroResp,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,,-99999,monthly,carbon flux,,,,
CO2 Emission from Fire,fFire,,NA,kg m-2 s-1,,,1,,-99999,monthly,carbon flux,,,,
CO2 Flux to Atmosphere from Land Use Change,fLuc,,LUC,kg m-2 s-1,kg m-2 s-1,,1,,-99999,monthly,carbon flux,,,,
Net Biospheric Production,nbp,NBP,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,,-99999,monthly,carbon flux,,,,
Vegtype level GPP,gpppft,GPP,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,PFT,-99999,monthly,carbon flux,,,,
Vegtype level NPP,npppft,NPP,cable,kg m-2 s-1,umol m-2 s-1,mul:0.000000012011,1,PFT,-99999,monthly,carbon flux,,,,
